houshold,brand_car,age_car_yr,Sum_Totprem_Auto,Cars,salard_Age_cus_HH,cus_tenure_mth,HH_tenure_mth,FA_DCT,Fc,FD,cs_flag_auto,zone,salary,rural_urban,fraud_Ind
183,7,2,0,2,50,283,322,0,2,1,0,2,3577841,0,0
184,3,24,0,1,40,53,97,0,2,1,0,5,3647449,0,0
185,3,24,0,2,40,319,332,0,1,5,0,5,2891378,0,0
186,1,6,0,2,40,99,261,0,1,2,0,3,3179351,0,0
187,3,35,0,2,44,186,214,0,1,1,0,2,2594847,0,0
188,2,2,0,4,25,286,298,0,2,2,0,4,2749286,0,0
189,2,17,0,1,37,12,53,1,2,3,0,4,2817183,0,0
190,2,8,0,3,25,215,264,0,2,1,0,6,3263729,0,0
191,2,6,0,2,49,81,104,0,2,1,0,5,3680472,0,0
192,7,6,0,3,42,42,61,0,2,2,0,4,3878199,0,0
193,2,5,0,1,29,104,119,0,1,4,0,6,4102175,0,0
194,5,20,0,1,36,214,239,0,1,4,0,6,4388600,0,0
195,5,10,0,1,49,198,173,1,2,2,0,3,2599227,0,0
196,5,10,0,1,49,206,229,0,4,2,0,4,1913424,0,0
197,2,6,0,1,38,7,12,0,1,3,0,6,2121619,0,0
198,2,11,0,2,38,299,329,0,4,6,0,3,2177383,0,0
199,7,13,0,2,28,102,140,0,2,6,0,4,2755363,0,0
200,2,18,0,3,29,273,288,0,2,1,0,4,2565763,0,0
201,4,7,0,1,28,7,12,0,1,2,0,3,3128978,0,0
202,1,18,0,2,36,7,12,0,1,2,0,3,1396682,0,0
203,3,11,0,2,30,21,26,1,2,1,0,3,1917702,1,0
204,1,9,0,3,48,151,197,0,3,3,0,3,3804453,0,0
205,1,2,0,4,48,26,54,0,2,2,0,4,1532128,1,0
206,1,15,0,3,33,315,357,0,1,3,0,5,1417443,0,0
207,2,15,0,1,42,76,254,1,2,6,0,4,2633673,0,0
208,1,15,0,1,30,132,157,0,1,3,0,3,3757066,0,0
209,1,9,0,1,26,205,272,1,1,2,0,4,1567642,0,0
210,7,11,0,1,25,162,206,0,1,1,0,4,3562181,1,0
211,7,5,0,1,30,261,277,1,2,1,0,4,2033792,1,0
212,2,8,0,4,28,58,103,1,4,1,0,3,2228898,0,0
213,2,16,0,2,39,76,229,0,3,3,0,4,1305605,1,0
214,4,4,0,1,47,92,249,0,1,3,0,4,3503018,0,0
215,7,24,0,1,34,185,242,0,1,3,0,4,3753254,0,0
216,2,7,0,2,27,22,34,1,2,1,0,3,4306483,0,0
217,1,24,0,1,46,138,151,1,2,3,0,4,1546976,1,0
218,3,11,0,2,29,116,157,0,1,2,0,4,4080661,1,0
219,1,8,0,2,25,19,67,0,2,2,0,6,4352285,0,0
220,1,3,0,2,26,12,37,0,4,3,0,4,2709467,0,0
221,3,3,0,2,51,213,197,0,1,1,0,3,4421076,1,0
222,1,17,0,1,35,60,92,0,1,2,0,3,3763626,0,0
223,1,21,0,2,38,217,242,0,1,2,0,3,3915747,0,0
224,7,15,0,1,41,264,220,0,1,2,0,4,2085041,0,0
225,4,15,0,1,25,31,80,0,3,2,0,3,2663557,0,0
226,4,15,0,1,37,229,258,1,2,2,0,2,4378783,0,0
227,4,12,0,2,26,251,243,0,2,4,0,2,4145596,0,0
228,3,5,0,1,31,14,64,1,2,4,0,3,2657501,0,0
229,3,4,0,1,51,147,283,0,1,3,0,3,2020453,0,0
230,1,7,0,1,25,89,121,0,3,1,0,2,3673756,0,0
231,4,14,0,4,51,100,112,0,1,4,0,3,3827374,0,0
232,2,11,0,2,34,142,181,1,1,5,0,3,2432715,0,0
233,2,9,0,3,37,161,207,0,3,1,0,4,2138341,0,0
234,1,26,0,2,33,140,178,0,1,1,0,2,1889931,0,0
235,3,5,0,2,38,214,135,0,4,1,0,2,1348080,0,0
236,4,5,0,1,50,162,194,0,1,3,0,2,2555749,0,0
237,2,12,0,2,48,18,37,0,1,2,0,2,3207022,0,0
238,1,11,0,1,38,130,165,1,2,1,0,2,2941753,0,0
239,2,5,0,1,43,180,220,0,1,2,0,3,2303167,0,0
240,7,13,0,1,47,33,78,0,3,3,0,4,3031497,0,0
241,7,3,0,2,47,269,281,0,2,2,0,5,2245355,1,0
242,1,2,0,1,30,113,143,0,2,1,0,3,3971895,0,0
243,1,19,0,1,32,209,238,0,1,1,0,5,1390907,0,0
244,1,6,0,4,32,129,237,0,1,2,0,6,2194965,0,0
245,7,11,0,1,33,218,101,0,1,3,0,5,3978847,0,0
246,7,20,0,3,25,49,81,0,3,3,0,6,1865287,1,0
247,7,9,0,1,26,244,205,1,3,3,0,3,2445158,1,0
248,2,9,0,1,25,223,136,0,1,1,0,4,1938078,1,0
249,7,10,0,1,41,81,295,0,1,3,0,3,2302167,0,0
250,7,10,0,1,31,133,172,0,1,2,0,4,1515013,0,0
251,3,6,0,2,50,300,336,1,1,2,0,5,3819276,0,0
252,4,6,0,3,26,114,246,0,1,3,0,3,3616178,0,0
253,4,27,0,1,25,192,242,0,2,3,0,3,1826927,0,0
254,2,5,0,2,45,216,228,0,4,1,0,6,1363764,0,0
255,1,25,0,1,32,9,14,1,2,4,0,3,2658614,1,0
256,7,7,0,2,49,67,290,0,1,5,0,4,1731708,0,0
257,2,7,0,1,38,127,150,0,2,2,0,3,4266488,0,0
258,2,11,0,1,29,156,199,0,1,1,0,4,2382958,1,0
259,2,39,0,1,40,76,291,0,3,3,0,6,2662545,0,0
260,7,14,0,1,48,73,123,0,2,1,0,3,4700984,0,0
261,7,12,0,2,45,197,210,0,3,4,0,3,1697779,0,0
262,2,12,0,2,37,113,149,1,4,2,0,3,4479580,0,0
263,1,18,0,2,38,108,207,0,2,2,0,3,3058677,1,0
264,2,6,0,2,29,198,140,0,2,2,0,3,3710310,0,0
265,5,2,0,2,50,229,258,1,1,3,0,4,1631691,0,0
266,2,8,0,2,32,157,191,1,1,2,0,3,3214924,1,0
267,1,5,0,2,29,128,249,0,1,2,0,4,2872634,1,0
268,2,12,0,3,29,10,15,0,1,2,0,3,1324920,1,0
269,7,22,0,4,40,131,232,0,2,2,0,4,4541216,0,0
270,3,15,0,1,31,80,102,1,1,2,0,5,2718381,1,0
271,3,21,0,4,40,295,318,1,1,3,0,2,4285617,0,0
272,7,17,0,3,34,163,288,0,4,1,0,3,4265840,0,0
273,2,15,0,1,27,247,277,0,1,2,0,4,2953729,1,0
274,2,1,0,1,33,49,85,1,1,2,0,3,2229628,0,0
275,2,7,0,1,33,115,162,0,2,2,0,3,4548247,0,0
276,2,5,0,1,42,169,200,0,1,2,0,4,1563421,1,0
277,7,12,0,2,42,315,346,0,1,4,0,2,2473098,0,0
278,3,9,0,1,36,241,262,0,2,3,0,3,1912828,0,0
279,1,9,0,1,27,222,185,0,2,3,0,3,1992534,0,0
280,1,12,0,4,25,287,312,0,2,2,0,3,1366472,0,0
281,2,3,0,2,26,191,226,0,1,2,0,3,3881890,1,0
282,1,3,0,2,50,119,142,0,1,1,0,4,4168059,1,0
283,3,5,0,2,51,234,169,0,1,2,0,2,2309365,1,0
284,7,5,0,2,34,252,119,0,1,2,0,2,4108072,0,0
285,7,6,0,2,50,143,174,1,3,1,0,3,1609317,0,0
286,1,12,0,1,44,164,283,0,2,2,0,3,3949081,0,0
287,2,2,0,1,48,263,234,0,2,6,0,4,3081004,0,0
288,3,5,0,3,33,261,299,0,1,1,0,4,2344415,0,0
289,3,11,0,1,32,225,280,1,2,3,0,1,1317408,1,0
290,7,10,0,4,48,69,291,1,2,6,0,1,3918968,0,0
291,7,20,0,4,39,247,293,1,1,1,0,1,4511457,1,0
292,3,4,0,2,48,142,194,1,1,2,0,4,2101714,0,0
293,7,4,0,3,30,8,23,1,2,3,0,5,2541135,0,0
294,7,4,0,2,43,248,264,1,3,2,0,3,2193647,0,0
295,2,10,0,1,30,223,153,0,3,1,0,1,3176224,0,0
296,2,10,0,1,40,176,213,1,4,2,0,1,3548018,0,0
297,1,22,0,2,51,182,282,1,2,3,0,1,3613693,0,0
298,2,6,0,1,27,181,217,0,2,2,0,3,1524198,0,0
299,1,6,0,4,34,43,78,0,1,2,0,1,1687626,0,0
300,2,8,0,2,35,308,329,0,3,1,0,5,2620338,1,0
301,4,20,0,2,33,303,352,0,4,3,0,4,2959866,0,0
302,1,2,0,1,42,7,12,0,2,3,0,3,2956383,1,0
303,3,13,0,2,29,191,274,0,3,3,0,4,1523163,1,0
304,3,18,0,1,34,159,297,0,2,1,0,2,2789129,0,0
305,7,42,0,2,46,227,251,0,2,3,0,3,4018832,0,0
306,2,11,0,1,25,51,95,0,2,3,0,2,1889138,0,0
307,1,12,0,4,45,312,350,0,1,2,0,2,1891490,0,0
308,1,7,0,4,36,86,109,0,1,1,0,1,1548434,0,0
309,1,9,0,1,46,12,59,1,2,2,0,1,2864680,1,0
310,5,19,0,1,47,21,69,0,2,1,0,4,4464072,0,0
311,3,15,0,1,26,201,240,1,2,1,0,4,3551724,0,0
312,2,17,0,1,28,328,343,1,3,1,0,2,3074366,0,0
313,3,6,0,1,41,175,135,0,1,1,0,3,2087247,0,0
314,2,11,0,2,43,52,75,1,4,1,0,4,2773871,0,0
315,1,5,0,1,28,63,112,1,3,3,0,4,3088355,0,0
316,1,4,0,2,46,177,209,0,2,3,0,2,2273459,1,0
317,1,12,0,5,29,162,116,0,3,3,0,1,3959472,1,0
318,2,5,0,3,39,187,199,0,5,1,0,1,2058127,0,0
319,1,7,0,4,36,237,287,0,2,2,0,5,3288631,0,0
320,1,3,0,5,46,227,120,0,3,1,0,5,3462893,1,0
321,7,11,34726.5,5,49,56,75,0,2,2,1,2,3569847,0,0
322,7,1,11112.48,1,32,19,24,0,3,3,1,2,3061115,0,0
323,1,6,0,1,26,219,254,0,3,2,0,2,3348411,0,0
324,1,11,0,1,25,40,45,0,2,2,0,1,4624213,0,0
325,4,19,0,1,51,13,18,0,2,3,0,1,1544073,0,0
326,7,5,0,1,45,180,263,0,1,1,0,1,1560378,0,0
327,7,25,0,1,40,77,118,0,3,3,0,2,1714277,1,0
328,4,8,0,2,42,85,125,0,2,2,0,3,3723786,1,0
329,3,37,0,1,30,216,129,1,2,2,0,2,2575230,0,0
330,1,7,0,2,25,7,12,0,3,1,0,5,3784630,0,0
331,3,9,0,1,42,230,266,0,1,4,0,2,4472773,0,0
332,2,26,0,4,25,26,31,0,1,2,0,3,4677743,0,0
333,1,20,0,4,49,277,326,0,2,4,0,3,3050523,0,0
334,1,5,0,2,50,12,17,0,1,4,0,3,1614205,0,0
335,1,5,0,1,49,312,351,0,1,4,0,4,2586265,1,0
336,1,5,0,1,35,142,155,0,1,2,0,2,4312737,0,0
337,2,19,0,1,31,252,266,0,3,3,0,4,2186053,1,0
338,2,17,0,1,42,65,103,0,3,2,0,6,1440157,1,0
339,1,3,0,1,45,7,12,0,3,2,0,4,2923281,0,0
340,2,2,0,2,42,167,125,1,4,1,0,2,3658309,0,0
341,1,2,0,2,27,143,202,0,3,2,0,2,1969684,0,0
342,4,7,0,1,33,254,225,1,4,1,0,4,3250641,0,0
343,7,4,0,1,43,77,113,0,1,1,0,2,3807812,1,0
344,7,25,0,2,25,316,349,0,1,2,0,4,1425072,1,0
345,7,11,0,1,43,35,82,0,1,3,0,4,3188209,0,0
346,2,5,0,2,43,30,76,0,3,5,0,3,4507083,0,0
347,7,3,0,2,35,75,98,0,2,2,0,4,3622576,0,0
348,7,4,0,2,51,50,98,1,1,1,0,6,1389300,0,0
349,7,3,0,1,43,138,153,0,3,1,0,4,1309836,0,0
350,7,27,0,1,47,80,186,0,1,2,0,6,3314988,1,0
351,1,1,0,1,29,8,13,0,3,1,0,3,3590011,0,0
352,1,16,0,1,25,166,208,0,2,3,0,5,3915722,0,0
353,3,7,0,1,41,146,164,0,2,1,0,3,4180853,0,0
354,7,11,0,3,40,287,331,0,3,1,0,2,3957017,1,0
355,4,11,0,3,31,150,196,0,2,1,0,5,2015495,0,0
356,7,39,0,1,46,213,238,1,3,2,0,4,2499893,1,0
357,1,2,0,1,33,251,151,0,1,1,0,6,3282487,0,0
358,3,4,0,2,42,256,170,0,1,2,0,3,2938064,1,0
359,1,16,0,1,50,109,132,0,1,1,0,4,4173011,0,0
360,1,18,0,1,41,80,92,0,3,2,0,3,4236391,0,0
361,2,2,0,1,29,2,23,0,1,2,0,1,1309457,0,0
362,7,34,0,2,47,90,294,0,1,3,0,1,2911649,1,0
363,2,8,0,2,28,161,204,1,2,2,0,1,2592536,0,0
364,2,18,0,1,26,214,263,1,1,3,0,1,2880169,0,0
365,7,36,0,1,37,108,133,0,2,1,0,1,2665383,1,0
366,3,15,0,1,28,147,176,0,2,4,0,1,3645549,0,0
367,2,16,0,1,29,249,280,0,4,2,0,1,4009440,0,0
368,2,16,0,2,27,239,261,0,3,3,0,3,2196045,1,0
369,3,15,0,3,25,148,163,0,3,4,0,1,4662099,0,0
370,7,9,0,1,40,7,12,0,4,2,0,1,4227525,0,0
371,7,12,0,2,30,217,255,0,2,5,0,1,1697526,0,0
372,1,12,0,3,47,220,255,0,3,5,0,1,2701301,1,0
373,1,9,0,2,25,68,111,0,1,2,0,1,3397353,0,0
374,2,4,0,1,35,179,194,0,1,1,0,5,1610463,1,0
375,2,21,0,1,28,164,209,1,1,1,0,4,1986180,0,0
376,2,42,0,2,25,163,200,0,3,2,0,8,3765117,1,0
377,1,3,0,3,41,138,246,0,3,1,0,4,3117121,0,0
378,7,11,0,2,38,224,100,0,3,1,0,4,2490511,0,0
379,7,7,0,1,30,113,139,1,1,2,0,8,3632542,0,0
380,7,7,0,1,38,27,32,1,1,3,0,4,2840564,0,0
381,2,19,0,1,51,226,275,0,1,2,0,4,1471521,0,0
382,2,13,0,2,44,71,262,0,3,1,0,6,2366622,0,0
383,1,7,0,3,29,40,89,0,1,2,0,8,3408134,1,0
384,2,12,0,1,43,215,259,0,3,2,0,5,3043176,0,0
385,3,9,0,2,31,308,347,1,2,3,0,4,1308055,1,0
386,7,17,0,2,43,13,42,0,2,2,0,4,4176443,0,0
387,3,8,0,1,51,286,307,0,3,4,0,4,2355884,0,0
388,2,1,0,1,25,28,67,0,2,3,0,4,2046501,1,0
389,7,16,0,3,25,319,359,0,2,2,0,5,2352290,0,0
390,1,5,0,2,27,77,127,0,2,4,0,4,3415197,0,0
391,2,11,0,1,46,272,295,0,2,2,0,6,3415639,1,0
392,2,11,0,1,29,91,241,0,1,4,0,5,2018652,1,0
393,1,25,0,4,25,273,291,0,3,2,0,4,4182301,1,0
394,1,3,0,1,48,119,259,1,3,2,0,4,4588207,0,0
395,5,14,0,2,25,99,282,1,4,4,0,5,2703071,0,0
396,1,1,0,2,40,147,103,1,3,3,0,4,3990732,0,0
397,1,20,0,3,50,243,202,0,1,2,0,8,4055392,1,0
398,1,15,0,2,43,202,197,0,1,1,0,4,3611018,0,0
399,1,5,0,1,25,311,358,0,3,2,0,4,1354290,0,0
400,2,41,0,2,31,106,122,1,1,1,0,4,4377535,0,0
401,1,10,0,1,34,274,316,0,4,4,0,4,1628807,0,0
402,2,8,0,1,47,257,282,0,1,1,0,5,2913012,0,0
